segment	duration_days_floor	trace_count	percentage	cumulative_percentage
Escalated to level 2	111	1	0.040584415584415584	97.11850649350652
Escalated to level 2	112	1	0.040584415584415584	97.15909090909093
Escalated to level 2	113	4	0.16233766233766234	97.3214285714286
Escalated to level 2	114	1	0.040584415584415584	97.36201298701302
Escalated to level 2	115	3	0.12175324675324675	97.48376623376626
Escalated to level 2	116	3	0.12175324675324675	97.6055194805195
Escalated to level 2	118	1	0.040584415584415584	97.64610389610392
Escalated to level 2	119	1	0.040584415584415584	97.68668831168834
Escalated to level 2	121	1	0.040584415584415584	97.72727272727276
Escalated to level 2	122	1	0.040584415584415584	97.76785714285718
Escalated to level 2	123	1	0.040584415584415584	97.8084415584416
Escalated to level 2	127	2	0.08116883116883117	97.88961038961043
Escalated to level 2	131	1	0.040584415584415584	97.93019480519484
Escalated to level 2	136	1	0.040584415584415584	97.97077922077926
Escalated to level 2	137	1	0.040584415584415584	98.01136363636368
Escalated to level 2	138	1	0.040584415584415584	98.0519480519481
Escalated to level 2	141	2	0.08116883116883117	98.13311688311693
Escalated to level 2	147	1	0.040584415584415584	98.17370129870135
Escalated to level 2	151	1	0.040584415584415584	98.21428571428577
Escalated to level 2	155	2	0.08116883116883117	98.29545454545459
Escalated to level 2	160	1	0.040584415584415584	98.33603896103901
Escalated to level 2	170	2	0.08116883116883117	98.41720779220783
Escalated to level 2	175	1	0.040584415584415584	98.45779220779225
Escalated to level 2	176	1	0.040584415584415584	98.49837662337667
Escalated to level 2	177	1	0.040584415584415584	98.53896103896109
Escalated to level 2	180	1	0.040584415584415584	98.57954545454551
Escalated to level 2	182	2	0.08116883116883117	98.66071428571433
Escalated to level 2	186	2	0.08116883116883117	98.74188311688316
Escalated to level 2	189	1	0.040584415584415584	98.78246753246758
Escalated to level 2	191	1	0.040584415584415584	98.823051948052
Escalated to level 2	199	1	0.040584415584415584	98.86363636363642
Escalated to level 2	214	1	0.040584415584415584	98.90422077922084
Escalated to level 2	217	1	0.040584415584415584	98.94480519480526
Escalated to level 2	220	1	0.040584415584415584	98.98538961038967
Escalated to level 2	231	1	0.040584415584415584	99.0259740259741
Escalated to level 2	249	1	0.040584415584415584	99.06655844155851
Escalated to level 2	262	2	0.08116883116883117	99.14772727272734
Escalated to level 2	269	1	0.040584415584415584	99.18831168831176
Escalated to level 2	282	2	0.08116883116883117	99.26948051948058
Escalated to level 2	291	1	0.040584415584415584	99.310064935065
Escalated to level 2	292	1	0.040584415584415584	99.35064935064942
Escalated to level 2	302	1	0.040584415584415584	99.39123376623384
Escalated to level 2	305	1	0.040584415584415584	99.43181818181826
Escalated to level 2	322	2	0.08116883116883117	99.51298701298708
Escalated to level 2	338	1	0.040584415584415584	99.5535714285715
Escalated to level 2	344	2	0.08116883116883117	99.63474025974033
Escalated to level 2	345	1	0.040584415584415584	99.67532467532475
Escalated to level 2	351	2	0.08116883116883117	99.75649350649357
Escalated to level 2	364	1	0.040584415584415584	99.79707792207799
Escalated to level 2	374	1	0.040584415584415584	99.83766233766241
Escalated to level 2	394	1	0.040584415584415584	99.87824675324683
Escalated to level 2	431	1	0.040584415584415584	99.91883116883125
Escalated to level 2	438	1	0.040584415584415584	99.95941558441567
Escalated to level 2	442	1	0.040584415584415584	100.00000000000009
Escalated to level 3	0	8	1.4705882352941175	1.4705882352941175
Escalated to level 3	1	10	1.8382352941176472	3.3088235294117645
Escalated to level 3	2	5	0.9191176470588236	4.227941176470588
Escalated to level 3	3	7	1.2867647058823528	5.51470588235294
Escalated to level 3	4	8	1.4705882352941175	6.985294117647058
Escalated to level 3	5	8	1.4705882352941175	8.455882352941176
Escalated to level 3	6	3	0.5514705882352942	9.00735294117647
Escalated to level 3	7	107	19.669117647058822	28.67647058823529
Escalated to level 3	8	40	7.352941176470589	36.02941176470588
Escalated to level 3	9	22	4.044117647058823	40.0735294117647
Escalated to level 3	10	31	5.698529411764706	45.772058823529406
Escalated to level 3	11	21	3.860294117647059	49.632352941176464
Escalated to level 3	12	20	3.6764705882352944	53.30882352941176
Escalated to level 3	13	23	4.227941176470589	57.53676470588235
Escalated to level 3	14	16	2.941176470588235	60.47794117647058
Escalated to level 3	15	14	2.5735294117647056	63.05147058823528
Escalated to level 3	16	9	1.6544117647058825	64.70588235294116
Escalated to level 3	17	13	2.389705882352941	67.0955882352941
Escalated to level 3	18	14	2.5735294117647056	69.66911764705881
Escalated to level 3	19	16	2.941176470588235	72.61029411764704
Escalated to level 3	20	8	1.4705882352941175	74.08088235294116
Escalated to level 3	21	7	1.2867647058823528	75.36764705882351
Escalated to level 3	22	7	1.2867647058823528	76.65441176470586
Escalated to level 3	23	3	0.5514705882352942	77.20588235294115
Escalated to level 3	24	4	0.7352941176470588	77.9411764705882
Escalated to level 3	25	7	1.2867647058823528	79.22794117647055
Escalated to level 3	26	3	0.5514705882352942	79.77941176470584
Escalated to level 3	27	7	1.2867647058823528	81.06617647058819
Escalated to level 3	28	11	2.0220588235294117	83.0882352941176
Escalated to level 3	29	5	0.9191176470588236	84.00735294117642
Escalated to level 3	30	2	0.3676470588235294	84.37499999999996
Escalated to level 3	31	3	0.5514705882352942	84.92647058823525
Escalated to level 3	32	3	0.5514705882352942	85.47794117647054
Escalated to level 3	33	4	0.7352941176470588	86.2132352941176
Escalated to level 3	34	6	1.1029411764705883	87.31617647058819
Escalated to level 3	35	3	0.5514705882352942	87.86764705882348
Escalated to level 3	36	2	0.3676470588235294	88.23529411764702
Escalated to level 3	37	1	0.1838235294117647	88.41911764705878
Escalated to level 3	39	1	0.1838235294117647	88.60294117647055
Escalated to level 3	40	2	0.3676470588235294	88.97058823529409
Escalated to level 3	41	2	0.3676470588235294	89.33823529411762
Escalated to level 3	42	4	0.7352941176470588	90.07352941176468
Escalated to level 3	44	1	0.1838235294117647	90.25735294117645
Escalated to level 3	45	1	0.1838235294117647	90.44117647058822
Escalated to level 3	46	1	0.1838235294117647	90.62499999999999
Escalated to level 3	47	2	0.3676470588235294	90.99264705882352
Escalated to level 3	48	2	0.3676470588235294	91.36029411764706
Escalated to level 3	49	1	0.1838235294117647	91.54411764705883
Escalated to level 3	50	1	0.1838235294117647	91.7279411764706
Escalated to level 3	51	1	0.1838235294117647	91.91176470588236
Escalated to level 3	52	3	0.5514705882352942	92.46323529411765
Escalated to level 3	54	1	0.1838235294117647	92.64705882352942
Escalated to level 3	57	2	0.3676470588235294	93.01470588235296
Escalated to level 3	58	2	0.3676470588235294	93.38235294117649
Escalated to level 3	60	1	0.1838235294117647	93.56617647058826
Escalated to level 3	61	1	0.1838235294117647	93.75000000000003
Escalated to level 3	62	1	0.1838235294117647	93.9338235294118
Escalated to level 3	63	1	0.1838235294117647	94.11764705882356
Escalated to level 3	64	2	0.3676470588235294	94.4852941176471
Escalated to level 3	67	2	0.3676470588235294	94.85294117647064
Escalated to level 3	68	1	0.1838235294117647	95.0367647058824
Escalated to level 3	69	2	0.3676470588235294	95.40441176470594
Escalated to level 3	70	2	0.3676470588235294	95.77205882352948
Escalated to level 3	73	1	0.1838235294117647	95.95588235294125
Escalated to level 3	74	4	0.7352941176470588	96.6911764705883
Escalated to level 3	76	1	0.1838235294117647	96.87500000000007
Escalated to level 3	78	2	0.3676470588235294	97.24264705882361
Escalated to level 3	80	2	0.3676470588235294	97.61029411764714
Escalated to level 3	83	1	0.1838235294117647	97.79411764705891
Escalated to level 3	84	1	0.1838235294117647	97.97794117647068
Escalated to level 3	94	2	0.3676470588235294	98.34558823529422
Escalated to level 3	112	1	0.1838235294117647	98.52941176470598
Escalated to level 3	113	1	0.1838235294117647	98.71323529411775
Escalated to level 3	116	1	0.1838235294117647	98.89705882352952
Escalated to level 3	139	1	0.1838235294117647	99.08088235294129
Escalated to level 3	230	1	0.1838235294117647	99.26470588235306
Escalated to level 3	265	1	0.1838235294117647	99.44852941176482
Escalated to level 3	318	1	0.1838235294117647	99.63235294117659
Escalated to level 3	477	1	0.1838235294117647	99.81617647058836
Escalated to level 3	771	1	0.1838235294117647	100.00000000000013
